"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.863742829E0,-8.822999895E-3,-1.538100000E-2,-1.606830060E-1,1.616584329E-1
1.873559484E0,-8.822999895E-3,-1.538100000E-2,-1.606830060E-1,1.616584329E-1
1.883375945E0,-2.171199955E-2,-2.643500082E-2,-1.611720026E-1,1.647623580E-1
1.893192406E0,-2.171199955E-2,-2.643500082E-2,-1.611720026E-1,1.647623580E-1
1.903009753E0,-2.675599977E-2,-3.106399998E-2,-1.624300033E-1,1.675242119E-1
1.912827098E0,-2.675599977E-2,-3.106399998E-2,-1.624300033E-1,1.675242119E-1
1.922645910E0,-2.882600017E-2,-2.948899940E-2,-1.610649973E-1,1.662602560E-1
1.932464719E0,-2.882600017E-2,-2.948899940E-2,-1.610649973E-1,1.662602560E-1
1.942284858E0,-2.836200036E-2,-2.882000059E-2,-1.613759995E-1,1.663646858E-1
1.952105011E0,-2.836200036E-2,-2.882000059E-2,-1.613759995E-1,1.663646858E-1
1.961921614E0,-2.807899937E-2,-2.509799972E-2,-1.615190059E-1,1.658515272E-1
1.971738233E0,-2.807899937E-2,-2.509799972E-2,-1.615190059E-1,1.658515272E-1
1.981556782E0,-3.033000045E-2,-2.332100086E-2,-1.610669941E-1,1.655486472E-1
1.991375357E0,-3.033000045E-2,-2.332100086E-2,-1.610669941E-1,1.655486472E-1
2.001194179E0,-2.829200029E-2,-1.949499920E-2,-1.633089930E-1,1.668841498E-1
2.011012988E0,-2.829200029E-2,-1.949499920E-2,-1.633089930E-1,1.668841498E-1
2.020830986E0,-2.205899917E-2,-1.862199977E-2,-1.633879989E-1,1.659187045E-1
2.030648987E0,-2.205899917E-2,-1.862199977E-2,-1.633879989E-1,1.659187045E-1
2.040468055E0,-2.018399909E-2,-1.671000011E-2,-1.658779979E-1,1.679348924E-1
2.050287132E0,-2.018399909E-2,-1.671000011E-2,-1.658779979E-1,1.679348924E-1
2.060104197E0,-1.494900044E-2,-1.726599969E-2,-1.650670022E-1,1.666394388E-1
2.069921276E0,-1.494900044E-2,-1.726599969E-2,-1.650670022E-1,1.666394388E-1
2.079740801E0,-9.491000324E-3,-1.604899950E-2,-1.620970070E-1,1.631658333E-1
2.089560338E0,-9.491000324E-3,-1.604899950E-2,-1.620970070E-1,1.631658333E-1
2.099378139E0,-3.881999990E-3,-1.343700010E-2,-1.590420008E-1,1.596558201E-1
2.109195950E0,-3.881999990E-3,-1.343700010E-2,-1.590420008E-1,1.596558201E-1
2.119011521E0,-1.217500027E-2,-1.111800037E-2,-1.579390019E-1,1.587972572E-1
2.128827098E0,-1.217500027E-2,-1.111800037E-2,-1.579390019E-1,1.587972572E-1
2.138644802E0,-2.339700051E-2,-9.438999929E-3,-1.548099965E-1,1.568523171E-1
2.148462493E0,-2.339700051E-2,-9.438999929E-3,-1.548099965E-1,1.568523171E-1
2.158280626E0,-3.057100065E-2,-1.307000034E-2,-1.556639969E-1,1.591750324E-1
2.168098743E0,-3.057100065E-2,-1.307000034E-2,-1.556639969E-1,1.591750324E-1
2.177919372E0,-3.121400066E-2,-1.884599961E-2,-1.575099975E-1,1.616752450E-1
2.187739987E0,-3.121400066E-2,-1.884599961E-2,-1.575099975E-1,1.616752450E-1
2.197555220E0,-2.909100056E-2,-2.618700080E-2,-1.593520045E-1,1.640887159E-1
2.207370453E0,-2.909100056E-2,-2.618700080E-2,-1.593520045E-1,1.640887159E-1
2.217187565E0,-2.456399985E-2,-3.329699859E-2,-1.571869999E-1,1.625417889E-1
2.227004680E0,-2.456399985E-2,-3.329699859E-2,-1.571869999E-1,1.625417889E-1
2.236824362E0,-2.030400001E-2,-4.128199816E-2,-1.570149958E-1,1.636159060E-1
2.246644015E0,-2.030400001E-2,-4.128199816E-2,-1.570149958E-1,1.636159060E-1
